Ticker
AAL
AAPL
ACB
ACE
ACST
ADBE
ADDY
AEP
AGTHX
ALGN
AMD
AMZN
AMZN 
APPL
APTV
ASPU
AT&T
ATLC
ATVI
AVGO
BA
BABA
BAC
BAH
BAM
BBT
BEP
BJ
BLDR
BLL
BOX
BRK.B
BSX
BUD
BX
C
CARA
CASH
CcSco
CELG
CGC
CHE
CHK
CHWY
CHX
CLB
CMCAS
CMCSA
CMG
COF
CORE
COST
COUP
CPRI
CRI
CRK
CRON
CRSP
CSCO
CTSH
CVC
CVRS
CWBHF
CWST
CXO
DDD
DELL
DHI
DHXM
DIS
DNR
DOCU
DOW
DPW
DRRX
DXYN
EA
ECA
EGRX
ENPH
FAST
FATE
FB
FDX
FLOT
FNKO
FNMAL
FSLR
FTNT
GCO
GD
GDOT
GE
GILD
GME
GOOG
GOOGL
GS
GSGRX
GWPH
HAS
HD
HOME
HON
HOV
IAG
IBM
ICLN
ICON
IGMS
ILMN
INCY
INFY
INTC
J&J
JNJ
JP
JPM
KALV
KHC
KMB
KMX
KO
KR
KSWS
LLNW
LLY
LMT
LOW
LULU
MARK
MCD
MCK
MJ
MKTX
MO
MOMO
MSCI
MSFT
MU
NET
NFLX
NGG
NKE
NM
NSE
NSRGY
NTLA
NTNX
NVDA
NVST
NVTA
OEGAX
OKTA
ORCL
PBFS
PEIR1
PEP
PFE
PFPT
PG
PIR
PLAY
PLUG
PO
PW
PXD
PYPL
QQQ
RH
ROKU
ROX
RUN
RVNC
SAM
SBUX
SDC
SEDG
SFM
SHAK
SHOP
SKIS
SNE
SPID
SPWH
SPY
SQ
SWTX
SYK
T
TAP
TCEHY
TDY
TER
TGT
TLRY
TRBCX
TRV
TSLA
TSN
TSS
TV
TWTR
TXG
UAA
UEPS
URI
UTX
UUUU
VHC
VIXY
VTSNX
VZ
WKHS
WMGI
WMS
WMT
WORK
X
XERS
XOM
YUM
ZIXI
ZUMZ
