Ticker
AAL
AAPL
ACB
ACER
ACST
ADBE
ADDYY
AEP
AGTHX
ALGN
AMD
AMZN
APTV
ASPU
T
ATLC
ATVI
AVGO
BA
BABA
BAC
BAH
BAM
BBT
BEP
BJ
BLDR
BLL
BOX
BRK-B
BSX
BUD
BX
C
CARA
CASH*
CSCO
CELG
CGC
CHE
CHK
CHWY
CLB
CMCSA
CMG
COF
CORE
COST
COUP
CPRI
CRI
CRK
CRON
CRSP
CTSH
CVS
CVRS
CWBHF
CWST
CXO
DDD
DELL
DHI
DHXM
DIS
DNR
DOCU
DOW
DPW
DRRX
DXYN
EA
ECA
EGRX
ENPH
FAST
FATE
FB
FDX
FLOT
FNKO
FNMAL
FSLR
FTNT
GCO
GD
GDOT
GE
GILD
GME
GOOG
GOOGL
GS
GSGRX
GWPH
HAS
HD
HOME
HON
HOV
IAG
IBM
ICLN
ICON
IGMSX
ILMN
INCY
INFY
INTC
JNJ
JP
JPM
KALV
KHC
KMB
KMX
KO
KR
KSS
LLNW
LLY
LMT
LOW
LULU
MARK
MCD
MCK
MJ
MKTX
MO
MOMO
MSCI
MSFT
MU
NFLX
NGG
NKE
NM
NSE
NSRGY
NTLA
NTNX
NVDA
NVS
NVTA
OEGAX
OKTA
ORCL
PBFS
PIR
PEP
PFE
PFPT
PG
PLAY
PLUG
PO
PW
PXD
PYPL
QQQ
RH
ROKU
ROX
RUN
RVNC
SAM
SBUX
SDC
SEDG
SFM
SHAK
SHOP
SKIS
SNE
SPID
SPWH
SPY
SQ
SWTX
SYK
TAP
TCEHY
TDY
TER
TGT
TLRY
TRBCX
TRV
TSLA
TSN
TSS
TV
TWTR
TXG
UAA
UEPS
URI
UTX
UUUU
VHC
VIXY
VTSNX
VZ
WKHS
WMGI
WMS
WMT
WORK
X
XERS
XOM
YUM
ZIXI
ZUMZ









